naic_product,sic_industry,sic_product,sic_title
212210,1011,1011,Iron ores
212210P,NA,1011P,Primary products
2122108,NA,10118,Iron ores
212234,1021,1021,Copper ores
NA,NA,1021P,Primary products
2122341,NA,10211,Crude copper bearing ores
2122343,NA,10212,Copper concentrates
2122345,NA,10214,Copper precipitates and electrowon copper recovered from leaching operations
212234SM,NA,1021SM,Secondary products and miscellaneous receipts
212234M,NA,1021M,Miscellaneous receipts
212234S,NA,1021S,Secondary products
212231,1031,1031,Lead and zinc ores
212231P,NA,1031P,Primary products
2122311,NA,10311,Crude lead and zinc ores and residues
2122312,NA,10312,Lead and zinc concentrates
212231214,NA,1031214,Lead concentrates
212231215,NA,1031215,Zinc concentrates
212231SM,NA,1031SM,Secondary products and miscellaneous receipts
212231M,NA,1031M,Miscellaneous receipts
212231S,NA,1031S,Secondary products
212221,1041,1041,Gold ores
212221P,NA,1041P,Primary products
2122211,NA,10411,Crude lode gold ores
2122212,NA,10412,Lode gold concentrates
2122213,NA,10413,Gold mill bullion and placer gold
212221SM,NA,1041SM,Secondary products and miscellaneous receipts
212221M,NA,1041M,Miscellaneous receipts
212221S,NA,1041S,Secondary products
212222,1044,1044,Silver ores
212222P,NA,1044P,Primary products
2122221,NA,10441,Silver ores
212222SM,NA,1044SM,Secondary products and miscellaneous receipts
212222M,NA,1044M,Miscellaneous receipts
212222S,NA,1044S,Secondary products
213114,1081,1081,Metal mining services
213114P,NA,1081P,Primary products
2131148,NA,10818,Metal mining services
213114SM,NA,1081SM,Secondary products and miscellaneous receipts
213114M,NA,1081M,Miscellaneous receipts
213114S,NA,1081S,Secondary products
NA,1094,1094,Uranium-radium-vanadium ores
NA,NA,1094P,Primary products
NA,NA,10942,Concentrates and precipitates
NA,NA,1094212,Uranium concentrates and precipitates
212111,1221,1221,Bituminous coal & lignite surface mining
212111P,NA,1221P,Primary products
2121111,NA,12211,Unprepared (raw) bituminous coal and lignite shipped from surface operations
212111101,NA,1221101,For use without preparation
212111103,NA,1221103,For preparation at other establishments
2121112,NA,12212,Prepared bituminous coal and lignite from surface operations
212111201,NA,1221201,"Mechanically cleaned by wet-washing, pneumatic, or other methods"
212111217,NA,1221217,Other preparation only: bituminous coal
212111218,NA,1221218,Other preparation only: subbituminous coal
212111219,NA,1221219,Other preparation only: lignite
212111SM,NA,1221SM,Secondary products and miscellaneous receipts
212111M,NA,1221M,Miscellaneous receipts
212111S,NA,1221S,Secondary products
212112,1222,1222,Bituminous coal underground mining
212112P,NA,1222P,Primary products
2121121,NA,12221,Unprepared (raw) bituminous coal shipped from underground operations
2121122,NA,12222,Prepared bituminous coal shipped from underground operations
212112201,NA,1222201,"Mechanically cleaned by wet-washing, pnuematic, or other methods"
212112217,NA,1222217,"Other preparation only, such as mechanical crushing, screening, or sizing"
212112SM,NA,1222SM,Secondary products and miscellaneous receipts
212112M,NA,1222M,Miscellaneous receipts
212112S,NA,1222S,Secondary products
212113,1231,1231,Anthracite mining
212113P,NA,1231P,Primary products
2121131,NA,12311,Unprepared anthracite shipped
NA,NA,1231114,For preparation at other establishments
2121133,NA,12312,Prepared anthracite shipped
NA,NA,1231207,"Mechanically cleaned by wet-washing, pneumatic, or other methods"
NA,NA,1231SM,Secondary products and miscellaneous receipts
212113M,NA,1231M,Miscellaneous receipts
212113S,NA,1231S,Secondary products
213113,1241,1241,Coal mining services
213113P,NA,1241P,Primary products
2131134,NA,12414,Coal mining services
213113SM,NA,1241SM,Secondary products and miscellaneous receipts
213113M,NA,1241M,Miscellaneous receipts
213113S,NA,1241S,Secondary products
211111,1312,1312,Crude petroleum and natural gas
211111P,NA,1312P,Primary products
2111111,NA,13121,Crude petroleum
2111115,NA,13125,Natural gas (from the well head)
211111SM,NA,1312SM,Secondary products and miscellaneous receipts
211111M,NA,1312M,Miscellaneous receipts
211111S,NA,1312S,Secondary products
211112,1322,1322,Natural gas liquids and natural gas residue
211112P,NA,1322P,Primary products
