sic_industry,sic_product,sic_title,naics_product
1011,1011,Iron ores,212210
1011,1011P,Primary products,212210P
1011,10118,Iron ores,2122108
1021,1021,Copper ores,212234
1021,1021P,Primary products,NA
1021,10211,Crude copper bearing ores,2122341
1021,10212,Copper concentrates,2122343
1021,10214,Copper precipitates and electrowon copper recovered from leaching operations,2122345
1021,1021SM,Secondary products and miscellaneous receipts,212234SM
1021,1021M,Miscellaneous receipts,212234M
1021,1021S,Secondary products,212234S
1031,1031,Lead and zinc ores,212231
1031,1031P,Primary products,212231P
1031,10311,Crude lead and zinc ores and residues,2122311
1031,10312,Lead and zinc concentrates,2122312
1031,1031214,Lead concentrates,212231214
1031,1031215,Zinc concentrates,212231215
1031,1031SM,Secondary products and miscellaneous receipts,212231SM
1031,1031M,Miscellaneous receipts,212231M
1031,1031S,Secondary products,212231S
1041,1041,Gold ores,212221
1041,1041P,Primary products,212221P
1041,10411,Crude lode gold ores,2122211
1041,10412,Lode gold concentrates,2122212
1041,10413,Gold mill bullion and placer gold,2122213
1041,1041SM,Secondary products and miscellaneous receipts,212221SM
1041,1041M,Miscellaneous receipts,212221M
1041,1041S,Secondary products,212221S
1044,1044,Silver ores,212222
1044,1044P,Primary products,212222P
1044,10441,Silver ores,2122221
1044,1044SM,Secondary products and miscellaneous receipts,212222SM
1044,1044M,Miscellaneous receipts,212222M
1044,1044S,Secondary products,212222S
1081,1081,Metal mining services,213114
1081,1081P,Primary products,213114P
1081,10818,Metal mining services,2131148
1081,1081SM,Secondary products and miscellaneous receipts,213114SM
1081,1081M,Miscellaneous receipts,213114M
1081,1081S,Secondary products,213114S
1094,1094,Uranium-radium-vanadium ores,NA
1094,1094P,Primary products,NA
1094,10942,Concentrates and precipitates,NA
1094,1094212,Uranium concentrates and precipitates,NA
1221,1221,Bituminous coal & lignite surface mining,212111
1221,1221P,Primary products,212111P
1221,12211,Unprepared (raw) bituminous coal and lignite shipped from surface operations,2121111
1221,1221101,For use without preparation,212111101
1221,1221103,For preparation at other establishments,212111103
1221,12212,Prepared bituminous coal and lignite from surface operations,2121112
1221,1221201,"Mechanically cleaned by wet-washing, pneumatic, or other methods",212111201
1221,1221217,Other preparation only: bituminous coal,212111217
1221,1221218,Other preparation only: subbituminous coal,212111218
1221,1221219,Other preparation only: lignite,212111219
1221,1221SM,Secondary products and miscellaneous receipts,212111SM
1221,1221M,Miscellaneous receipts,212111M
1221,1221S,Secondary products,212111S
1222,1222,Bituminous coal underground mining,212112
1222,1222P,Primary products,212112P
1222,12221,Unprepared (raw) bituminous coal shipped from underground operations,2121121
1222,12222,Prepared bituminous coal shipped from underground operations,2121122
1222,1222201,"Mechanically cleaned by wet-washing, pnuematic, or other methods",212112201
1222,1222217,"Other preparation only, such as mechanical crushing, screening, or sizing",212112217
1222,1222SM,Secondary products and miscellaneous receipts,212112SM
1222,1222M,Miscellaneous receipts,212112M
1222,1222S,Secondary products,212112S
1231,1231,Anthracite mining,212113
1231,1231P,Primary products,212113P
1231,12311,Unprepared anthracite shipped,2121131
1231,1231114,For preparation at other establishments,NA
1231,12312,Prepared anthracite shipped,2121133
1231,1231207,"Mechanically cleaned by wet-washing, pneumatic, or other methods",NA
1231,1231SM,Secondary products and miscellaneous receipts,NA
NA,1231M,Miscellaneous receipts,212113M
NA,1231S,Secondary products,212113S
1241,1241,Coal mining services,213113
1241,1241P,Primary products,213113P
1241,12414,Coal mining services,2131134
1241,1241SM,Secondary products and miscellaneous receipts,213113SM
1241,1241M,Miscellaneous receipts,213113M
1241,1241S,Secondary products,213113S
1312,1312,Crude petroleum and natural gas,211111
1312,1312P,Primary products,211111P
1312,13121,Crude petroleum,2111111
1312,13125,Natural gas (from the well head),2111115
1312,1312SM,Secondary products and miscellaneous receipts,211111SM
1312,1312M,Miscellaneous receipts,211111M
1312,1312S,Secondary products,211111S
1322,1322,Natural gas liquids and natural gas residue,211112
1322,1322P,Primary products,211112P
1322,13222,Natural gas liquids,2111122
1322,1322221,Isopentane and natural gasoline,211112221
1322,1322231,Propane,211112231
1322,1322232,Butane,211112232
1322,1322298,"Ethane, gas mixtures, and other natural gas liquids",211112298
1322,13223,Natural gas residue (from gas processors),2111123
1322,1322SM,Secondary products and miscellaneous receipts,211112SM
1322,1322M,Miscellaneous receipts,211112M
1322,1322S,Secondary products,211112S
1381,1381,Drilling oil and gas wells,213111
1381,1381P,Primary products,213111P
1381,13817,Offshore drilling,NA
1381,1381701,"Drilling oil, gas, dry, and service wells",NA
1381,1381704,Reworking wells,NA
1381,13819,Onshore drilling,NA
1381,1381901,"Drilling oil, gas, dry, and service wells",21311101
1381,1381904,Reworking wells,21311102
1381,1381906,Directional drilling control,21311103
1381,1381SM,Secondary products and miscellaneous receipts,213111SM
1381,1381M,Miscellaneous receipts,213111M
1381,1381S,Secondary products,213111S
1382,1382,Oil and gas field exploration services,NA
1382,1382P,Primary products,NA
1382,13821,Oil and gas field exploration services,2131121
1382,1382S,Secondary products,NA
1389,1389,"Oil and gas field services, nec",213112
1389,1389P,Primary products,213112P
1389,13891,"Oil and gas field services, nec",2131122
1389,1389SM,Secondary products and miscellaneous receipts,213112SM
1389,1389M,Miscellaneous receipts,213112M
1389,1389S,Secondary products,213112S
1411,1411,Dimension stone,212311
1411,1411P,Primary products,212311P
1411,1411101,Rough dimension limestone,NA
1411,1411501,Rough dimension granite,NA
1411,1411901,Other rough dimension stone,NA
1411,1411SM,Secondary products and miscellaneous receipts,212311SM
1411,1411M,Miscellaneous receipts,212311M
1411,1411S,Secondary products,212311S
1422,1422,Crushed and broken limestone,212312
1422,1422P,Primary products,212312P
1422,14221,North Central region,NA
1422,1422112,East North Central division,NA
1422,1422113,West North Central division,NA
1422,14222,Other regions,NA
1422,142221,South region,NA
1422,1422211,South Atlantic division,NA
